time,cpi
1.1.2002,106.2
1.2.2002,104.3
1.3.2002,103.6
1.4.2002,103.6
1.5.2002,103.2
1.6.2002,102.6
1.7.2002,102
1.8.2002,102.7
1.9.2002,102.8
1.10.2002,102.9
1.11.2002,102.9
1.12.2002,103.4
1.1.2003,107.3
1.2.2003,107.6
1.3.2003,108
1.4.2003,107.7
1.5.2003,107.6
1.6.2003,108.4
1.7.2003,108.7
1.8.2003,109.2
1.9.2003,109.5
1.10.2003,109.6
1.11.2003,109.8
1.12.2003,109.3
1.1.2004,108.3
1.2.2004,108.5
1.3.2004,108.2
1.4.2004,108
1.5.2004,108.3
1.6.2004,108.1
1.7.2004,108.5
1.8.2004,107.2
1.9.2004,106.7
1.10.2004,106.6
1.11.2004,106.3
1.12.2004,105.9
1.1.2005,103.2
1.2.2005,102.7
1.3.2005,102.5
1.4.2005,102.7
1.5.2005,102.4
1.6.2005,102.5
1.7.2005,102
1.8.2005,102
1.9.2005,102.2
1.10.2005,103.3
1.11.2005,103.4
1.12.2005,103.7
1.1.2006,104.1
1.2.2006,104.4
1.3.2006,104.5
1.4.2006,104.5
1.5.2006,104.8
1.6.2006,104.6
1.7.2006,105
1.8.2006,105.1
1.9.2006,104.6
1.10.2006,103.7
1.11.2006,104.3
1.12.2006,104.2
1.1.2007,103
1.2.2007,102.7
1.3.2007,102.7
1.4.2007,102.7
1.5.2007,102.3
1.6.2007,102.5
1.7.2007,102.3
1.8.2007,102.3
1.9.2007,102.8
1.10.2007,103.3
1.11.2007,103.1
1.12.2007,103.4
1.1.2008,103.8
1.2.2008,104
1.3.2008,104.2
1.4.2008,104.3
1.5.2008,104.6
1.6.2008,104.6
1.7.2008,104.8
1.8.2008,105
1.9.2008,105.4
1.10.2008,105.1
1.11.2008,104.9
1.12.2008,104.4
1.1.2009,103.4
1.2.2009,103
1.3.2009,102.5
1.4.2009,102.1
1.5.2009,101.9
1.6.2009,101.8
1.7.2009,101.7
1.8.2009,101.3
1.9.2009,100.6
1.10.2009,100.4
1.11.2009,100.4
1.12.2009,100.5
1.1.2010,100.4
1.2.2010,100.4
1.3.2010,100.8
1.4.2010,101.3
1.5.2010,101.2
1.6.2010,101
1.7.2010,101.1
1.8.2010,101
1.9.2010,101.1
1.10.2010,101
1.11.2010,101
1.12.2010,101.3
1.1.2011,103
1.2.2011,103.3
1.3.2011,103.6
1.4.2011,103.7
1.5.2011,104
1.6.2011,103.9
1.7.2011,103.7
1.8.2011,104
1.9.2011,104.3
1.10.2011,104.4
1.11.2011,104.6
1.12.2011,104.4
1.1.2012,103.9
1.2.2012,103.8
1.3.2012,103.8
1.4.2012,103.6
1.5.2012,103.4
1.6.2012,103.6
1.7.2012,103.7
1.8.2012,103.7
1.9.2012,103.6
1.10.2012,103.8
1.11.2012,103.4
1.12.2012,103.2
1.1.2013,102.4
1.2.2013,102.2
1.3.2013,101.9
1.4.2013,101.7
1.5.2013,101.7
1.6.2013,101.6
1.7.2013,101.5
1.8.2013,101.3
1.9.2013,101
1.10.2013,100.6
1.11.2013,100.5
1.12.2013,100.4
1.1.2014,100
1.2.2014,99.9
1.3.2014,99.9
1.4.2014,99.8
1.5.2014,100
1.6.2014,99.9
1.7.2014,99.9
1.8.2014,99.8
1.9.2014,99.9
1.10.2014,100
1.11.2014,100.1
1.12.2014,99.9
1.1.2015,99.6
1.2.2015,99.5
1.3.2015,99.7
1.4.2015,99.9
1.5.2015,99.9
1.6.2015,99.9
1.7.2015,99.8
1.8.2015,99.8
1.9.2015,99.5
1.10.2015,99.4
1.11.2015,99.6
1.12.2015,99.5
1.1.2016,99.4
1.2.2016,99.6
1.3.2016,99.5
1.4.2016,99.6
1.5.2016,99.2
1.6.2016,99.2
1.7.2016,99.1
1.8.2016,99.2
1.9.2016,99.5
1.10.2016,99.7
1.11.2016,99.8
1.12.2016,100.2
1.1.2017,100.7
1.2.2017,101.1
1.3.2017,101
1.4.2017,100.8
1.5.2017,101.1
1.6.2017,101
1.7.2017,101.4
1.8.2017,101.5
1.9.2017,101.6
1.10.2017,101.7
1.11.2017,101.9
1.12.2017,101.9
1.1.2018,102.4
1.2.2018,102.1
1.3.2018,102.4
1.4.2018,102.9
1.5.2018,102.6
1.6.2018,102.8
1.7.2018,102.6
1.8.2018,102.8
1.9.2018,102.7
1.10.2018,102.5
1.11.2018,102.1
1.12.2018,101.9
1.1.2019,102.2
1.2.2019,102.3
1.3.2019,102.7
1.4.2019,102.3
1.5.2019,102.7
1.6.2019,102.6
1.7.2019,102.9
1.8.2019,102.8
1.9.2019,102.9
1.10.2019,102.7
1.11.2019,103
1.12.2019,103
1.1.2020,103
1.2.2020,103
1.3.2020,102.3
1.4.2020,102.1
1.5.2020,102
1.6.2020,101.8
1.7.2020,101.7
1.8.2020,101.4
1.9.2020,101.4
1.10.2020,101.6
1.11.2020,101.5
1.12.2020,101.6
1.1.2021,100.7
1.2.2021,100.9
1.3.2021,101.4
1.4.2021,101.6
1.5.2021,102.2
1.6.2021,102.9
1.7.2021,103.3
1.8.2021,103.8
1.9.2021,104.6
1.10.2021,105.1
1.11.2021,105.6
1.12.2021,105.8
1.1.2022,108.4
1.2.2022,109
